title,info,area,year,room,elevator,parking,warehouse,deposit,rent,status,for,use-case,floor,description,advertiser,balcony,area2
اپارتمان ۹۵ متری واقع در خ امام,۱ هفته پیش در تبریز | اجاره آپارتمان,۹۵,۱۳۹۱,۲,آسانسور,پارکینگ,انباری ندارد,۲۰۰٬۰۰۰٬۰۰۰ تومان,۲٬۱۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,مشاور املاک,۳ از ۴,"اپارتمان فوق ط ۳ از ۴ میباشد
نزدیک به خ اصلی (امام)
دسترسی اسان به ایستگاههای مترو و BRT
نزدیک مراکز خرید
محله دنج و ارام با همسایگان با فرهنگ
تخلیه اخر مرداد
با تشکر املاک رسولی
ادرس املاک. خ رضا نژاد جنوبی",,,
انباری یا کارگاه خیاطی(لاله میدان امام حسین),۱ هفته پیش در تبریز | اجاره خانه و ویلا,۹۰,۱۳۸۱,۱,,پارکینگ ندارد,انباری,۲۵٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,شخصی,,یک باب خانه مسکونی 90 متر طبقه همکف ورودی جدا امتیازات جدا بدون پارکینگ مناسب برای انباری یا کارگاه خیاطی و مشابه آن,بالکن,۹۰,
واحد ۸۵متری در اخونی نزدیک چهارراه,۱ هفته پیش در تبریز | اجاره آپارتمان,۸۵,۱۳۹۳,۲,آسانسور,پارکینگ,انباری ندارد,۱۰۰٬۰۰۰٬۰۰۰ تومان,۱٬۸۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,,۴ از ۴,"رهن و اجاره واحد ۸۵ متری 
دوخوابه
طبقه چهار .هرطبقه دو واحد
دارای اسانسور و پارکینگ
کف سرامیک
 کابینت دارد
بدون کمددیواری
دارای تراس
تمیز ونزدیکی چهارراه اخونی
برای هماهنگی و اطلاعات بیشتر به املاک نیک واقع در خ اخونی روبروی انتقال خون مراجعه شوو",,,املاک نیک
آپارتمان ۱۳۰ متری در تعاونی دو,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۳۰,۱۳۹۶,۲,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,,,,,,,"شهر جدید سهند تبریز فاز دو تعاونی دو
در یک ساختمان ۳طبقه (طبقه همکف مغازه و ۲طبقه تکواحدی) طبقه آخر
بدون انباری و پارکینگ
 فقط به زوج اجاره داده می شود",,,
آپارتمان ۸۰متری شهرک اندیشه مجتمع صدرا,۱ هفته پیش در تبریز | اجاره آپارتمان,۸۰,۱۴۰۰,۲,آسانسور,پارکینگ,انباری,۷۰٬۰۰۰٬۰۰۰ تومان,۱٬۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۳ از ۴,نزدیک ترین نقطه به تبریز از راه اتوبان سهند با تراکم کمتر جمعیتی مناسب زندگی بدون سروصدای شهری با محیط ترو تمیز با نمای آجری ۳ سانتی با درب ضد سرقت و بالکن با فضای زیاد و مناسب.املاک متین۰۹۱۴۱۱۰۱۴۳۴ بهنام,,,
رهن و اجاره مسکونی ایل گلی مجتمع فجر ایل گلی,۱ هفته پیش در تبریز | اجاره آپارتمان,۹۲,۱۳۸۰,۲,آسانسور ندارد,پارکینگ,انباری,۵۰٬۰۰۰٬۰۰۰ تومان,۵٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,مشاور املاک,۱ از ۴,"رهن/اجاره 
✅واحد مسکونی 

 ایل گلی / کوی سهند / مجتمع فجر ایل گلی

 متراژ ۹۲ متر
نصبیات کامل / ۲۵ متر پارکینگ اختصاصی ، انباری / اتاق ها دارای کمد / نوسازی شده / کف موکت / دو خواب / انشعابات مجزا / درب ضد سرقت / طبقه اول


جهت کسب اطلاعا بیشتر تماس بگیرید

#املاک_آریا ( تبریز / ائل‌گلی / خیابان سهند / نبش ۱۰متری سهند دوم)
۰۴۱۳-۳۸۱۴۹۵۸
☎️ ۰۹۱۴-۱۰۲-۳۵۱۰",,,
آپارتمان ۱۸۵ متر در شهریار ولیعصر,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۸۵,۱۳۹۹,۲,آسانسور,پارکینگ,انباری,۲۰۰٬۰۰۰٬۰۰۰ تومان,۱۶٬۵۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,,۵,"⭐️⭐️⭐️مشاورین املاک ملک پرداز⭐️⭐️⭐️

واحد فوق لوکس
بسیار خوش نقشه
بهترین لوکیشن منطقه
دو نبش شمالی
دارای دو پارکینگ
نورگیری بسیار عالی
با همسایگانی بسیار متشخص
منطقه ای فوق العاده دنج

یثربی
۰۹۳۹۱۱۶۵۳۳۶
۰۹۱۴۱۱۶۵۳۳۶",,,ملک پرداز
اجاره آپارتمان ۱۷۰ متر ، پرواز,۱ هفته پیش در تبریز، فلکه پرواز (خیابان پرواز) | اجاره آپارتمان,۱۷۰,۱۳۹۸,۳,آسانسور,پارکینگ,انباری ندارد,۲۰۰٬۰۰۰٬۰۰۰ تومان,۸٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,,۳ از ۵,"موارد ملکی خود را به ما بسپارید و از ما بخواهید
___________________________________________
آپارتمان ۱۷۰ متر مربع
جنوبی
طبقه ۳
محلی دنج و آرام برای سکونت
تحویل : ۲۰ تیر ماه 
___________________________________________
دفتر فنی مهندسی و مشاور املاک دریا

 گلشهر ، گلگشت غربی ، پلاک ۹",,,دریا
یاغچیان رهن کامل مجتمع برپور,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۰۱,۱۳۸۲,۲,آسانسور ندارد,پارکینگ,انباری,۲۰۰٬۰۰۰٬۰۰۰ تومان,۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده و مجرد,,۴,باسلام واحددرمجتمع برپورط4 بدون آسانسورتحویل درتیرماه شماره تماس 09144203716 و33848580دفترفنی مهندسی عمارت,,,املاک عمارت
رهن اجاره آپارتمان شیک مرزداران نصر آماد تحویل صفر,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۱۰,۱۴۰۰,۲,آسانسور,پارکینگ,انباری,۲۷۵٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,مشاور املاک,۱۶ از ۱۹,آدرس اول ورودی مرزداران دسترسی آسان به خدمات شهری شیکترین برج منطقه بانصبیاب کامل کمد دیواری کابینت آشپزخانه. های گلاس سفید لوکس شیک لطفاً املاکی های محترم تماس نگیرند,,,
رهن کامل ویلایی سهند,۱ هفته پیش در تبریز | اجاره خانه و ویلا,۱۷۰,۱۳۹۲,۳,,پارکینگ,انباری,۳۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,مشاور املاک,,رهن کامل حیاط ویلایی شیک در سهند لوکس,بالکن,۲۶۰,
اجاره ۱۴۰ متر آپارتمان زیبا ولیعصر,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۴۰,۱۴۰۰,۲,آسانسور,پارکینگ,انباری,۸۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,۵,"✔طراحی بسیار زیبا با متریال و نصبیات لوکس درجه یک...
✔عکسها گویای همه چیز است 
✔خاص لاکچری پسندان
《واحد صفر و کلیدنخورده》 

{ آدرس فقط حضوری }
==================
املاک تخصصی نیکان 
☆Live the Luxury☆
 ولیعصر فروغی 
 شهرام",,,املاک تخصصی نیکان
آپارتمان ۱۴۰متر زعفرانیه رهن کامل,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۴۰,۱۳۹۷,۲,آسانسور,پارکینگ,انباری ندارد,۵۰۰٬۰۰۰٬۰۰۰ تومان,توافقی,قابل تبدیل,خانواده,,۵ از ۵,"✅مسگن برلیان 

✅آدرس ملک زعفرانیه 

✅شمال غربی 

✅ویوابدی روبه فزای سبز 

✅۵طبقه هرطبقه یک واحد 

✅آسانسور پارکینگ بالکن درب ریموت دار 

✅سه سال ساخت بسیار لوکس 

✅طبقه ۵ از۵ دو خواب بزرگ 

✅سرویس بهداشتی ایرانی و فرنگی 

✅کف پارکت کاغذ دیواری نقاشی 

✅کابینت هایکلاس کمد بزرگ درهر دواطاق 

✅جای بسیار دنج گلدشت زعفرانیه 

✅خود صاحب ملک می نشیند بسیار لوکس است ✅اخر خرداد ماه تخلیه 

⬅️جهت رویت به مشاوراملاک درمیردامادروبروی پارک میردامادمراجعه فرمائید 

⬇️تلفن تماس 
۰۴۱۳۳۸۷۵۴۶۶⬅️

۰۹۱۴۸۳۷۳۷۰۱⬅️

۰۹۰۲۴۱۹۶۶۸۸⬅️

❇قاسمی",,,املاک برلیان
ورزش۱۱۰ متر نبش شمالی۳۵۰ میلیون با اس و پارک,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۱۰,۱۳۹۷,۲,آسانسور,پارکینگ,انباری ندارد,۳۲۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,مشاور املاک,۴ از ۵,نصف راه خیابان ورزش کوی یاسمن میدان سجاد ۱۱۰ متر نبش شمالی با آسانسور پارکینگ تکواحدی/تحویل فوری,,,
۱۴۰متر، ولیعصر/ تختی,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۴۰,۱۳۹۷,۲,آسانسور,پارکینگ,انباری,۶۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,,۲,".آذرمِلک
بانک اطلاعات ملکی تـبـریـز
——————————————
 { لوکیشن اعیان نشین منطقه}
 { امکان دسترسی آسان به مراکز خرید }

• ۱۴۰متر، ۲خواب +مستر

• جهت واحد: دوکله

• شخصی ساز، تک‌واحدی 

• کف پارکت لمینت 

• کمد و کابینت هایگلس 

• هالوژن بندی و نورپردازی مدرن 

• نورگیری عالی ( غرق در نور )

• خوش نقشه، بدون پرتی 

 { کلی توضیحات شنیدنی دیگر فقط با یک تماس }
——————————————
جهت اطلاعات بیشتر و هماهنگی بازدید با ما در تماس باشید
✔️ واحد توسط آذرملک کارشناسی شده
اطلاعات و عکس‌ها مربوط به واحد میباشد
——————————————
مشاور شما در امور مِلکی: مهندس پورآقا
——————————————
مالکین محترم فروش و اجاره ملک خود را به ما بسپارید.",,,آذرمِلک
ولیعصر خانه دربستی لیدای قدیم ۳۶۰ متر سه طبقه,۱ هفته پیش در تبریز | اجاره خانه و ویلا,۳۶۰,۱۴۰۰,۲,,پارکینگ,انباری,۱۲۰٬۰۰۰٬۰۰۰ تومان,۴۱٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,,,"مناسب برای آرایشگاه و دفتری و سایر شغل ها بجز مدرسه
طبقه زیر زمین ۶۰ متر
طبقه همکف ۱۵۰ متر
طبقه اول ۱۵۰ متر
حیاط در بست
کف یک طبقه پارکت
هر طبقه تقریبا دو خواب
با تشکر املاک تجارت

آدرس املاک______________ولیعصر اعتصامی فلکه تجارت جهانی املاک تجارت",بالکن,۲۵۰,
160 متر جنوبی 3خواب ولیعصر کریمخان,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۶۰,۱۳۹۰,۳,آسانسور,پارکینگ,انباری,۴۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,,۵,"⚜️⚜️⚜️( ملک یاب )⚜️⚜️⚜️
جهت دریافت اطلاعات بیشتر یا موارد متناسب با بودجه خود حتما باما تماس بگیرید‌.
______________(ملک یاب)_____________
واحدی ارذنده و خوش قیمت
اطلاعات = بیشتر تماس
______________(ملک یاب)_______________
کارشناس فروش : خدایی
09148444274",,,ملک یاب
رهن واجاره درکوی نصر،فرشته،استانداری,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۳۵,۱۳۹۵,۲,آسانسور,پارکینگ,انباری ندارد,۱۰۰٬۰۰۰٬۰۰۰ تومان,۶٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,مشاور املاک,۲,"املاک نورانی
ادرس دفتر:نصر خیابان دانشگاه جنوبی نبش هنر١٢
◀️نورانی:09145687969


⏺برای مشاوره در امرتمام رهن ورهن واجاره تماس بگیرید

جامع ترین فایلینگ منطقه

✅کوی نصر
☑️کد فایل١٢٠رهن اجاره
✅کوچه ٨متری و١٢متری
☑️دارای موقعیت عالی
✅طبقه٢از٤
☑️دارای اسانسور٥نفره
✅واحداخر برج ٣تحویل داده میشود
☑️٢خوابه
✅١٣٥متر
☑️واحددوبر جنوبی
✅تک واحد
☑️نما ساختمان سه سانت
✅دارای پارکینگ 
فقط برای خانواده ٣نفره داده میشود ☑️
موردهای مشابه برای تمام رهن ورهن واجاره درکوی نصر،فرشته شمالی ،استانداری ،مرزداران",,,
رسالت/راه آهن 105متر بدون آسانسور,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۰۵,۱۳۹۰,۲,آسانسور ندارد,پارکینگ,انباری ندارد,۲۰۰٬۰۰۰٬۰۰۰ تومان,۱٬۰۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده,,۳,"⭐ AMLAK VAHID⭐

⭐املاک وحید هیچ شعبه ی دیگری ندارد⭐

⚜️ املاک وحید مدرن‌ترین املاک منطقه⚜️

بهترین ملک های نقلی منطقه را از ما بخواهید.

کد ملک : 3665
⚜️ آپارتمان راه آهن/گوی قدس کوی یاسمن
⭕ سکونت موجر ندارد⭕
⭕ تاریخ تحویل آخرتیر⭕
⚜️امکانات
✔کف سرامیک✔کابینت ام دی اف✔گرمایش بخاری✔کمد دیواری✔پارکینگ✔شومینه✔لوستر✔کولرگازی

⚜️ طبقه 4/ کل ساختمان3طبقه 2 واحدی

لطفا جهت رویت ملک مورد نظر با املاک وحید هماهنگ شوید:
09937239387
♤توجه توجه♤
جهت سهولت در ارائه خدمات به شما عزیزان با نوشتن ( املاک وحید) در دیوار تمامی فایل های خرید و فروش ؛ رهن و اجاره در اختیارتان قرار خواهد گرفت.

✔پکیجی متنوع از فایلینگهای متناسب منطقه مشابه بودجه شما
از مشاوره تا خرید ملکتان همراهتان هستیم

✔آدرس املاک وحید: خیابان رسالت ایستگاه بهشتی املاک وحید
مشاور شما: خانم مهاجر",,,بانک املاک وحید
خانه ۷۰متر عباسی,۱ هفته پیش در تبریز، خیابان شهید بابایی (خ. عباسی) | اجاره آپارتمان,۷۰,۱۳۹۰,۲,آسانسور ندارد,پارکینگ ندارد,انباری ندارد,۸۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,شخصی,۲,"خانه دربست ۷۰ متر در ایستگاه آخر سیلاب قوشخانه .دارای حیاط و تک خوابه
شماره تماس ۰۹۱۴۳۰۷۲۳۹۸",,,
۱۴۰ متر ، ولیعصر ، فروغی ، مبله,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۴۰,۱۳۹۲,۳,آسانسور,پارکینگ,انباری,۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۴٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,,۲ از ۴,"خیالت راحت

آذرمِــلــک
بانک اطلاعات ملکی تـبـریـز
____________________________
 { تاپ لوکیشن منطقه ولیعصر }
 { منطقه اعیان نشین }
 { امکان دسترسی آسان با ویو بی نظیر }

• جهت واحد : شمالی

• ۱۴۰ متر ، ۳ خواب مفید

• نورگیری عالی از هر جهت ( غرق در نور )

• کف پارکت ، کابینت هایگلس

• فول امکانات

• دارای تاسیسات گرمایشی ، سرمایشی

• دارای آسانسور ، پارکینگ اختصاصی ، انباری

• دارای سرویس ایرانی ، فرنگی


• واحدی بسیار شیک و مجلل برای سخت پسندان •

____________________________
✔️ واحد توسط آذرملک کارشناسی شده
اطلاعات و عکس‌ها مربوط به واحد میباشد
____________________________

مشـاور شمـا : مهندس فیاضی

 ۰۹۱۴۵۰۱۸۱۵۱
____________________________

خرید و فروش | رهن و اجاره | مشارکت

آدرس: ولیعصـر، فلکه‌مخابـرات به‌طرف اوحـدی",,,آذرمِلک
آپارتمان ۱۲۵ متری در شهرک اندیشه,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۲۵,۱۳۹۶,۲,آسانسور,پارکینگ,انباری ندارد,۱۷۰٬۰۰۰٬۰۰۰ تومان,۱٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۲ از ۵,"یک واحد اپارتمان لوکس سه نبش
۱۲۵ متری زمان تخلیه ۴/۱۵
 امکانات شامل
کابینت آشپزخانه‌هایگلاس. کمد دیواری.حمام بزرگ در اتاق خواب 
دارای نور گیری عالی سه نبش. آسانسور به داخل واحد باز میشه. پارکینگ اختصاصی. پکیج وشوفاژ.باکن بزرگ برای گذاشتن وسایل اضافی.دارای پرده توری.اب و برق وگاز مجزا.وسایر امکانات دیگر........آدرس شهرک اندیشه خیابان مردانی آذر خیابان رشدیه نیکوی شش ساختمان محدثه شش طبقه‌ دوم تک واحد",,,
رهن کامل / 280 متر // ائل گولی / کلید نخورده,۱ هفته پیش در تبریز | اجاره آپارتمان,۲۸۰,۱۴۰۰,۳,آسانسور,پارکینگ,انباری,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,,۱۱,"بانک اطلاعات ملکی «املاک سام»
——————————————
برزگر 

• 280 متر رهن کامل 
• 3 خواب مستر 
• موقعیت جنوبی رو به آفتاب
• انباری ، بالکن کاربردی 
• نقشه عالی 
• صفر کلید نخورده 
• رو به رو فضای سبز و چشم نواز 
• قابلیت اقامت چند ساله 
• مناسب مشکل پسندان 

و دیگر توضیحات شنیدنی دیگر ... ؟ 
——————————————
املاک سام 
——————————————
مالکین محترم فروش و اجاره ملک خود را به ما بسپارید.
Barzgar_amlak (insta)",,,
اپارتمان شخصی ساز سهند ۷۰ متر,۱ هفته پیش در تبریز | اجاره آپارتمان,۷۰,۱۳۹۴,۱,آسانسور ندارد,پارکینگ,انباری,۹۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,۲,"↩️امـلاکــ بـهســازان↪️

آدرس دفتر:سهند فاز یک محله یک نبش پردیس ۲۱

میرزایی 09149185001
فیروز 09017271494

«جهت مشاوره با ما در ارتباط باشید»

❗بروزترین و جامعترین فایلینگ سهند

✅اپارتمان شخصی ساز
✅سهند فاز 1 محله 1
✅منطقه دنج بالانشین
✅۷۵ متر تک خوابه طبقه ۲
✅هر طبقه ۲ واحد
✅پکیج رادیات
✅پرده
✅کف سرامیک
✅کابینت
✅کمد لباس
✅تراس
✅انباری
✅پارکینگ
✅دسترسی اسان به تمام امکانات رفاهی
✅واحد خالی اماده تحویل

✳️فقط خانواده✳️

▪️◾◼️سهند آینده آذربایجان شرقی◼️◾▪️

⛔از پاسخگویی به پیامک و SMS معذوریم⛔

0️⃣9️⃣1️⃣4️⃣_9️⃣1️⃣8️⃣_5️⃣0️⃣0️⃣1️⃣

جهت هرگونه سوال و رویت فقط تماس بگیرید",,,
رهن کامل آپارتمان ١٢٠ مترى الهیه رشدیه,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۲۰,۱۳۹۰,۲,آسانسور,پارکینگ,انباری,۳۲۵٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,۵ از ۶,"مشاور املاک فرهنگیان
٠٩٣٨٨٦٨٧٣١٩
٣٦٦٧٥٣٧٠
در ساعات کارى تماس حاصل فرمایید
براى فایل بندى هاى متفاوت با ما در ارتباط باشین و ملک هاى خود را به ما بسپارید 
انجام تمامى امورات ملکى شما در رشدیه-الهیه-باغمیشه-فرشته
آدرس دفتر:رشدیه-الهیه-پشت رستوران ظفر-سبلان اول-املاک فرهنگیان
——————————————————————————
جهت دریافت عکس هاى کامل واحد از پیام بفرستید
✅ویو ابدى و طبقه ما قبل آخر
✅دو کله جنوبى
✅دو عدد تراس
✅بهترین کوچه و دسترسى عالى به تمام خدمات رفاهى
✅لوکس
✅ساختمان کلا بازسازى شده",,,املاك فرهنگيان
اجاره در مرزداران,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۴۳,۱۴۰۰,۳,آسانسور,پارکینگ,انباری ندارد,۲۰۰٬۰۰۰٬۰۰۰ تومان,۳٬۵۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,مشاور املاک,۱ از ۵,"آپارتمان ۱۴۳ متر-طبقه۱-سه خوابه-جنوبی-کلید نخورده
آدرس:نیاوران-ترنم دوم",,,
۲۳۰ متر ، ولیعصر ، عارف,۱ هفته پیش در تبریز | اجاره آپارتمان,۲۳۰,۱۳۹۹,۳,آسانسور,پارکینگ,انباری,۷۰۰٬۰۰۰٬۰۰۰ تومان,۶٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,,۲ از ۹,"خیالت راحت

آذرمِــلــک
بانک اطلاعات ملکی تـبـریـز
____________________________
 { تاپ لوکیشن منطقه ولیعصر }
 { منطقه اعیان نشین }
 { امکان دسترسی آسان با ویو بی نظیر }

• جهت واحد : جنوبی ( ۲ کله )

• ۲۳۰ متر ، ۳ خواب + مستر

• نورگیری عالی از هر جهت ( غرق در نور )

• کف پارکت ، کابینت هایگلس

• فول امکانات

• دارای تاسیسات گرمایشی ، سرمایشی

• پلان مهندسی شده ، خوش نقشه

• دارای آسانسور ، پارکینگ اختصاصی ، انباری

• دارای سرویس ایرانی ، فرنگی


 • واحدی شیک و مجلل برای خاص پسندان •

____________________________
✔️ واحد توسط آذرملک کارشناسی شده
اطلاعات و عکس‌ها مربوط به واحد میباشد
____________________________

مشـاور شمـا : مهندس فیاضی

 ۰۹۱۴۵۰۱۸۱۵۱
____________________________

خرید و فروش | رهن و اجاره | مشارکت

آدرس: ولیعصـر، فلکه‌مخابـرات به‌طرف اوحـدی",,,آذرمِلک
رهن کامل ۱۷۵متر آپارتمان جنوبی در منظریه,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۷۵,۱۳۹۶,۳,آسانسور,پارکینگ,انباری,۵۷۰٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,,۱ از ۶,"واحد آماده تحویل می باشد 
در بهترین موقعیت مکانی واقع شده است بر خیابان اصلی می‌باشد 
نقشه داخلی عالی دارد 
جهت دریافت اطلاعات بیشتر و معرفی فایل های دیگر با املاک عمارت،
به آدرس،منظریه،بیست متری ششم،نرسیده به آتش نشانی در ارتباط باشیم.
از ما بهترین ها رو بخواهید.
در صورت صلاحدید دید،فایل های خرید و فروش یا رهن و اجاره خود را با ما در ارتباط بزارید.سپاس.
تلفن های تماس ۰۹۱۴۴۷۱۲۲۴۲ و ۰۹۱۴۴۰۲۷۲۶۹ و ۳۴۷۹۸۲۶۶",,,املاک عمارت
سربالایی ولیعصر,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۲۸,۱۳۸۳,۲,آسانسور,پارکینگ,انباری,۴۰۰٬۰۰۰٬۰۰۰ تومان,۱۰۰٬۰۰۰ تومان,قابل تبدیل,خانواده و مجرد,مشاور املاک,۴,مشاور املاک هستیم سربالایی ولیعصر 128متر دوخوابه پارکت با آسانسور و پارکینگ 400میلیون تمام رهن یا تبدیل,,,
رهن اجاره،آپارتمان،ولیعصر،شریعتی،250متر,۱ هفته پیش در تبریز | اجاره آپارتمان,۲۵۰,۱۳۹۰,۳,آسانسور,پارکینگ,انباری,۲۰۰٬۰۰۰٬۰۰۰ تومان,۲۵٬۰۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,,۴ از ۷,"آذرملک
متخصص در عرصه اُمورات ملکی
_____________________________

موقعیت ملک: ولیعصر ، شریعتی 

مشخصات ملک: 

✓250متر فلت دلباز ، بدون پرتی

✓3خواب +1مستر 

✓طبقات بالا (ویو کل شهر بی نظیر)

✓واحد جنوبی آفتابگیر

✓کف پارکت ایتالیایی

✓کاغذدیواری 

✓دارای پرده ، کولر گازی

✓نورپردازی هالوژنبندی دراماتیک 

✓دارای آشپزخانه سرد ،گرم

✓بالکن بزرگ قابل چیدمان

✓دارای پارکینگ + 2انباری ، آسانسور 

(تاپ لوکیشن دنج منطقه ولیعصر شریعتی)

___________________________________
برای اطلاعات بیشتر تماس بگیرید
کارشناس شما: مهندس تمکینی
___________________________________
آذرملک
خیالت راحت",,,آذرمِلک
آپارتمان 85 متری شخصی ساز,۱ هفته پیش در تبریز | اجاره آپارتمان,۸۵,۱۳۹۴,۱,آسانسور ندارد,پارکینگ ندارد,انباری,۲۰۰٬۰۰۰٬۰۰۰ تومان,مجانی,قابل تبدیل,خانواده,شخصی,۲ از ۲,"با سلام
یک واحد آپارتمان مسکونی شخصی ساز به متراژ 85 متر 
تک خوابه
انشعابات مجزا
نصبیات کامل
کف سرامیک و موکت
کمد دیواری و کابینت ام دی اف
انباری
بالکن
ماشین نرو عکس کوچه رو گذاشتم حدودا 4،5 متر طول کوچه و 1/5 متر عرض کوچس
بدون آسانسور
در محدوده پارک شمس به رهن کامل واگذار می شود.
قابل تبدیل به رهن و اجاره تا یه حدی هست.",,,
رهن و اجاره آپارتمان ۱۶۰ متری گلشهر,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۶۰,۱۳۹۷,۲,آسانسور,پارکینگ,انباری ندارد,توافقی,توافقی,غیر قابل تبدیل,خانواده,,۷,"رهن واجاره واحد لوکس
گلشهر


۱۶۰ متر
۲ خوابه
طبقه ۷ از ۹


آدرس دفتر : تبریز، شهرک پرواز، بلوار سینا، روبروی برج شهران


آژانس املاک ۱۰۱ با بیش از ۳۰ سال سابقه درخشان و مدیریت مهندس نادر حضرتی آماده ارائه کلیه خدمات مِلکی می باشد.


مهندس حضرتی: ۰۹۱۴۳۳۳۹۱۴۰
مهندس خالقی: ۰۹۱۴۳۰۵۷۷۴۸
خانم محمدزاده: ۰۹۳۳۰۸۲۲۰۴۹
دفتر: ۰۴۱۳۳۸۵۰۹۰۹",,,۱۰۱
آپارتمان ۱۰۸متری در فاز اول نظام پزشکی,۱ هفته پیش در تبریز | اجاره آپارتمان,۱۰۸,۱۳۹۶,۲,آسانسور,پارکینگ,انباری ندارد,۲۸۵٬۰۰۰٬۰۰۰ تومان,مجانی,غیر قابل تبدیل,خانواده,شخصی,۴,جنوبی ودارای بالکن,,,
آپارتمان ۷۴ متری مجتمع رجایی شهر شاهگلی,۱ هفته پیش در تبریز | اجاره آپارتمان,۷۴,۱۳۸۵,۱,آسانسور,پارکینگ,انباری,۲۲۰٬۰۰۰٬۰۰۰ تومان,۳۰۰٬۰۰۰ تومان,غیر قابل تبدیل,خانواده,شخصی,۴ از ۱۱,"آپارتمان با ویو وچشم انداز عالی به فلکه وفضای سبز 

دارای کابینت نو وکاغذ دیواری 

مجتمع ساکت و تمیز با همسایگان با فرهنگ 

دارای نگهبانی 24ساعته و مهربان 

مخصوص زوج های جوان 

بلوک سه بهترین بلوک مجتمع 

100متر تا مترو بهترین وسیله حمل و نقل به اکثر نقاط مهم شهر 

نزدیک به مراکز تفریحی مثل پارک شاه‌گلی و همچنین مراکز تجاری وخرید وهایپرمارکت ها و همچنین بانک ها و دفاتر پیشخوان قضایی ودولت الکترونیک و رستوران و فست فود",,,
